compactor-1  | 2026-05-16T14:58:40.378229464Z 2026-05-16T14:58:40.378169Z  INFO influxdb3_lib::commands::serve: InfluxDB 3 Core server starting node_id=compactor-1 git_hash=c68a5712951128aa65e146169fe814ea69f22f63 version=3.3.0-nightly uuid=3be21063-bafa-4e0e-91a9-1d366cefdb6f num_cpus=8
compactor-1  | 2026-05-16T14:58:40.378275006Z 2026-05-16T14:58:40.378243Z  INFO influxdb3_clap_blocks::object_store: Object Store bucket=Some("influxdb3-bench") endpoint=Some(Endpoint("http://minio:9000")) object_store_type="S3"
compactor-1  | 2026-05-16T14:58:40.378303756Z 2026-05-16T14:58:40.378275Z  INFO object_store::aws::builder: Using Static credential provider
compactor-1  | 2026-05-16T14:58:40.381119547Z 2026-05-16T14:58:40.381049Z  INFO influxdb3_lib::commands::serve: Creating shared query executor num_threads=8
compactor-1  | 2026-05-16T14:58:40.382949964Z 2026-05-16T14:58:40.382905Z  INFO influxdb3_lib::commands::serve: opening shared catalog at _catalog/
compactor-1  | 2026-05-16T14:58:40.386688672Z 2026-05-16T14:58:40.386626Z  INFO influxdb3_catalog::catalog::update: create database name="_internal"
compactor-1  | 2026-05-16T14:58:40.386693381Z 2026-05-16T14:58:40.386649Z  INFO influxdb3_lib::commands::serve: catalog initialized catalog_uuid=821b8c7a-d469-4f52-b46b-3a1f5f1dc62b
compactor-1  | 2026-05-16T14:58:40.386694297Z 2026-05-16T14:58:40.386651Z  INFO influxdb3_catalog::catalog::update: register node node_id="compactor-1" core_count=8 mode=[Core]
compactor-1  | 2026-05-16T14:58:40.386695131Z 2026-05-16T14:58:40.386655Z  INFO influxdb3_catalog::catalog::update: registering new node to the catalog node_id="compactor-1" instance_id="5746b0fa-5145-402b-8d5b-25ca3ac40001"
compactor-1  | 2026-05-16T14:58:40.387589631Z 2026-05-16T14:58:40.387531Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"60fbedb8829690124c12a436aa5a1c82\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000008.catalog" })
compactor-1  | 2026-05-16T14:58:40.387597131Z 2026-05-16T14:58:40.387572Z  INFO influxdb3_lib::commands::serve: catalog initialized instance_id="5746b0fa-5145-402b-8d5b-25ca3ac40001"
compactor-1  | 2026-05-16T14:58:40.387600381Z 2026-05-16T14:58:40.387588Z  INFO influxdb3_catalog::catalog::update: set gen1 duration duration_ns=60000000000
compactor-1  | 2026-05-16T14:58:40.398108339Z 2026-05-16T14:58:40.398031Z  INFO influxdb3_wal::object_store: replaying WAL files
compactor-1  | 2026-05-16T14:58:40.398114756Z 2026-05-16T14:58:40.398047Z  INFO influxdb3_wal::object_store: completed replaying wal files time_taken=18.292µs
compactor-1  | 2026-05-16T14:58:40.398116214Z 2026-05-16T14:58:40.398075Z  INFO influxdb3_lib::commands::serve: setting up background mem check for query buffer
compactor-1  | 2026-05-16T14:58:40.398117047Z 2026-05-16T14:58:40.398079Z  INFO influxdb3_catalog::catalog::update: set generation duration level=2 duration_ns=3600000000000
compactor-1  | 2026-05-16T14:58:40.398119547Z 2026-05-16T14:58:40.398085Z  INFO influxdb3_write::deleter: Started catalog hard deleter task. delete_grace_period=86400s
compactor-1  | 2026-05-16T14:58:40.399164464Z 2026-05-16T14:58:40.399095Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"a26171ae29fc47ce2d527c380ffa0228\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000009.catalog" })
