querier-1  | 2026-05-16T14:54:46.231447009Z 2026-05-16T14:54:46.231359Z  INFO influxdb3_lib::commands::serve: InfluxDB 3 Core server starting node_id=querier-1 git_hash=c68a5712951128aa65e146169fe814ea69f22f63 version=3.3.0-nightly uuid=0984357e-c313-4fe1-9d59-82a1fde13eba num_cpus=8
querier-1  | 2026-05-16T14:54:46.231509509Z 2026-05-16T14:54:46.231439Z  INFO influxdb3_clap_blocks::object_store: Object Store bucket=Some("influxdb3-bench") endpoint=Some(Endpoint("http://minio:9000")) object_store_type="S3"
querier-1  | 2026-05-16T14:54:46.231512134Z 2026-05-16T14:54:46.231472Z  INFO object_store::aws::builder: Using Static credential provider
querier-1  | 2026-05-16T14:54:46.234352592Z 2026-05-16T14:54:46.234293Z  INFO influxdb3_lib::commands::serve: Creating shared query executor num_threads=8
querier-1  | 2026-05-16T14:54:46.236417634Z 2026-05-16T14:54:46.236241Z  INFO influxdb3_lib::commands::serve: opening shared catalog at _catalog/
querier-1  | 2026-05-16T14:54:46.239815217Z 2026-05-16T14:54:46.239746Z  INFO influxdb3_catalog::catalog::update: create database name="_internal"
querier-1  | 2026-05-16T14:54:46.239827550Z 2026-05-16T14:54:46.239772Z  INFO influxdb3_lib::commands::serve: catalog initialized catalog_uuid=821b8c7a-d469-4f52-b46b-3a1f5f1dc62b
querier-1  | 2026-05-16T14:54:46.239828967Z 2026-05-16T14:54:46.239776Z  INFO influxdb3_catalog::catalog::update: register node node_id="querier-1" core_count=8 mode=[Core]
querier-1  | 2026-05-16T14:54:46.239830134Z 2026-05-16T14:54:46.239780Z  INFO influxdb3_catalog::catalog::update: registering new node to the catalog node_id="querier-1" instance_id="52a60c4a-930d-40c3-9832-8bf0fabfc05b"
querier-1  | 2026-05-16T14:54:46.240959759Z 2026-05-16T14:54:46.240909Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"c20059c7ed80e9562f3abaa18b50ca3c\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000004.catalog" })
querier-1  | 2026-05-16T14:54:46.241035717Z 2026-05-16T14:54:46.240985Z  INFO influxdb3_lib::commands::serve: catalog initialized instance_id="52a60c4a-930d-40c3-9832-8bf0fabfc05b"
querier-1  | 2026-05-16T14:54:46.241047884Z 2026-05-16T14:54:46.241007Z  INFO influxdb3_catalog::catalog::update: set gen1 duration duration_ns=600000000000
querier-1  | 2026-05-16T14:54:46.241049092Z 2026-05-16T14:54:46.241037Z  WARN influxdb3_lib::commands::serve: cannot change the existing gen1 duration after it has been set existing_secs=60 provided_secs=600
querier-1  | 2026-05-16T14:54:46.242988842Z 2026-05-16T14:54:46.242939Z  INFO influxdb3_wal::object_store: replaying WAL files
querier-1  | 2026-05-16T14:54:46.242992592Z 2026-05-16T14:54:46.242947Z  INFO influxdb3_wal::object_store: completed replaying wal files time_taken=9.042µs
querier-1  | 2026-05-16T14:54:46.242993967Z 2026-05-16T14:54:46.242970Z  INFO influxdb3_lib::commands::serve: setting up background mem check for query buffer
querier-1  | 2026-05-16T14:54:46.242994800Z 2026-05-16T14:54:46.242977Z  INFO influxdb3_lib::commands::serve: compaction service disabled (mode=Querier does not run compaction)
querier-1  | 2026-05-16T14:54:46.242995634Z 2026-05-16T14:54:46.242978Z  INFO influxdb3_lib::commands::serve: setting up telemetry store
querier-1  | 2026-05-16T14:54:46.243009384Z 2026-05-16T14:54:46.242981Z  WARN influxdb3_lib::commands::serve: server started without auth (`--without-auth` switch), all token creation and regeneration of admin token endpoints are disabled
querier-1  | 2026-05-16T14:54:46.243011675Z 2026-05-16T14:54:46.242981Z  INFO influxdb3_write::deleter: Started catalog hard deleter task. delete_grace_period=86400s
querier-1  | 2026-05-16T14:54:46.243470967Z 2026-05-16T14:54:46.243413Z  INFO influxdb3_lib::commands::serve: setting up server with authz disabled for paths paths_without_authz=[]
querier-1  | 2026-05-16T14:54:46.243476384Z 2026-05-16T14:54:46.243437Z  INFO influxdb3_server: startup time: 12ms address=0.0.0.0:8181
