writer-1  | 2026-05-16T14:54:43.640364799Z 2026-05-16T14:54:43.640159Z  INFO influxdb3_lib::commands::serve: InfluxDB 3 Core server starting node_id=writer-1 git_hash=c68a5712951128aa65e146169fe814ea69f22f63 version=3.3.0-nightly uuid=9337d4f2-ae52-46b8-8a38-7f077877e800 num_cpus=8
writer-1  | 2026-05-16T14:54:43.640564216Z 2026-05-16T14:54:43.640345Z  INFO influxdb3_clap_blocks::object_store: Object Store bucket=Some("influxdb3-bench") endpoint=Some(Endpoint("http://minio:9000")) object_store_type="S3"
writer-1  | 2026-05-16T14:54:43.640568716Z 2026-05-16T14:54:43.640484Z  INFO object_store::aws::builder: Using Static credential provider
writer-1  | 2026-05-16T14:54:43.643963174Z 2026-05-16T14:54:43.643804Z  INFO influxdb3_lib::commands::serve: Creating shared query executor num_threads=8
writer-1  | 2026-05-16T14:54:43.645819049Z 2026-05-16T14:54:43.645729Z  INFO influxdb3_lib::commands::serve: opening shared catalog at _catalog/
writer-1  | 2026-05-16T14:54:43.647129007Z 2026-05-16T14:54:43.647043Z  INFO influxdb3_catalog::object_store: catalog not found, creating a new one catalog_uuid=821b8c7a-d469-4f52-b46b-3a1f5f1dc62b
writer-1  | 2026-05-16T14:54:43.648478091Z 2026-05-16T14:54:43.648374Z  INFO influxdb3_catalog::object_store: persisted catalog checkpoint file sequence=0
writer-1  | 2026-05-16T14:54:43.648483466Z 2026-05-16T14:54:43.648386Z  INFO influxdb3_catalog::catalog::update: create database name="_internal"
writer-1  | 2026-05-16T14:54:43.648484966Z 2026-05-16T14:54:43.648389Z  INFO influxdb3_catalog::catalog: creating new database database_name="_internal"
writer-1  | 2026-05-16T14:54:43.649240341Z 2026-05-16T14:54:43.649185Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"b4329aa480ca0be38c67ca836e2b56b2\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000001.catalog" })
writer-1  | 2026-05-16T14:54:43.649246299Z 2026-05-16T14:54:43.649217Z  INFO influxdb3_catalog::catalog: created internal database
writer-1  | 2026-05-16T14:54:43.649249466Z 2026-05-16T14:54:43.649230Z  INFO influxdb3_lib::commands::serve: catalog initialized catalog_uuid=821b8c7a-d469-4f52-b46b-3a1f5f1dc62b
writer-1  | 2026-05-16T14:54:43.649250549Z 2026-05-16T14:54:43.649235Z  INFO influxdb3_catalog::catalog::update: register node node_id="writer-1" core_count=8 mode=[Core]
writer-1  | 2026-05-16T14:54:43.649251466Z 2026-05-16T14:54:43.649239Z  INFO influxdb3_catalog::catalog::update: registering new node to the catalog node_id="writer-1" instance_id="cfa0048c-e892-494c-8313-8c3c8d3a3247"
writer-1  | 2026-05-16T14:54:43.650142882Z 2026-05-16T14:54:43.650019Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"899710145d7ab95576f31d0c027dce6f\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000002.catalog" })
writer-1  | 2026-05-16T14:54:43.650149341Z 2026-05-16T14:54:43.650083Z  INFO influxdb3_lib::commands::serve: catalog initialized instance_id="cfa0048c-e892-494c-8313-8c3c8d3a3247"
writer-1  | 2026-05-16T14:54:43.650150507Z 2026-05-16T14:54:43.650103Z  INFO influxdb3_catalog::catalog::update: set gen1 duration duration_ns=60000000000
writer-1  | 2026-05-16T14:54:43.650801591Z 2026-05-16T14:54:43.650762Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"88b7f921ef50e6f1697238e7539840b1\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000003.catalog" })
writer-1  | 2026-05-16T14:54:43.650853466Z 2026-05-16T14:54:43.650825Z  INFO influxdb3_lib::commands::serve: acquiring writer lease (ttl=60s)
writer-1  | 2026-05-16T14:54:43.651557424Z 2026-05-16T14:54:43.651514Z  INFO influxdb3_write::leases: lease _locks/writer.lease acquired by writer-1-9337d4f2-ae52-46b8-8a38-7f077877e800 (no prior holder)
writer-1  | 2026-05-16T14:54:43.653323799Z 2026-05-16T14:54:43.653215Z  INFO influxdb3_wal::object_store: replaying WAL files
writer-1  | 2026-05-16T14:54:43.653327632Z 2026-05-16T14:54:43.653222Z  INFO influxdb3_wal::object_store: completed replaying wal files time_taken=7.25µs
writer-1  | 2026-05-16T14:54:43.653328799Z 2026-05-16T14:54:43.653240Z  INFO influxdb3_lib::commands::serve: setting up background mem check for query buffer
writer-1  | 2026-05-16T14:54:43.653329507Z 2026-05-16T14:54:43.653244Z  INFO influxdb3_lib::commands::serve: compaction service disabled (mode=Writer does not run compaction)
writer-1  | 2026-05-16T14:54:43.653330257Z 2026-05-16T14:54:43.653264Z  INFO influxdb3_lib::commands::serve: setting up telemetry store
writer-1  | 2026-05-16T14:54:43.653330966Z 2026-05-16T14:54:43.653246Z  INFO influxdb3_write::deleter: Started catalog hard deleter task. delete_grace_period=86400s
writer-1  | 2026-05-16T14:54:43.653331799Z 2026-05-16T14:54:43.653275Z  WARN influxdb3_lib::commands::serve: server started without auth (`--without-auth` switch), all token creation and regeneration of admin token endpoints are disabled
writer-1  | 2026-05-16T14:54:43.653691174Z 2026-05-16T14:54:43.653659Z  INFO influxdb3_lib::commands::serve: setting up server with authz disabled for paths paths_without_authz=[]
writer-1  | 2026-05-16T14:54:43.653696049Z 2026-05-16T14:54:43.653679Z  INFO influxdb3_server: startup time: 13ms address=0.0.0.0:8181
writer-1  | 2026-05-16T14:54:50.892928844Z 2026-05-16T14:54:50.892829Z  INFO object_store::client::retry: Encountered transport error backing off for 0.1 seconds, retry 1 of 10: error sending request
writer-1  | 2026-05-16T14:54:51.035424636Z 2026-05-16T14:54:51.035309Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"bba36cec514cc731c808cefad3853ed8\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000005.catalog" })
writer-1  | 2026-05-16T14:54:51.657910803Z 2026-05-16T14:54:51.657505Z  INFO influxdb3_wal::snapshot_tracker: snapshotting all before last wal period (using last wal period time) force_snapshot=false wal_periods_3_times_snapshot_size=false
writer-1  | 2026-05-16T14:54:51.657999011Z 2026-05-16T14:54:51.657594Z  INFO influxdb3_wal::object_store: flushing WAL buffer to object store host="writer-1" n_ops=1 min_timestamp_ns=1770303290826118761 max_timestamp_ns=1778943290826119753 wal_file_number=1
writer-1  | 2026-05-16T14:54:52.656285095Z 2026-05-16T14:54:52.655928Z  INFO influxdb3_wal::snapshot_tracker: snapshotting all before last wal period (using last wal period time) force_snapshot=false wal_periods_3_times_snapshot_size=false
writer-1  | 2026-05-16T14:54:52.656365678Z 2026-05-16T14:54:52.656040Z  INFO influxdb3_wal::object_store: flushing WAL buffer to object store host="writer-1" n_ops=1 min_timestamp_ns=1770303290826118782 max_timestamp_ns=1778943290826119748 wal_file_number=2
writer-1  | 2026-05-16T14:54:53.655829345Z 2026-05-16T14:54:53.655491Z  INFO influxdb3_wal::snapshot_tracker: snapshotting all force_snapshot=false wal_periods_3_times_snapshot_size=true
writer-1  | 2026-05-16T14:54:53.655907470Z 2026-05-16T14:54:53.655580Z  INFO influxdb3_wal::object_store: flushing WAL buffer to object store host="writer-1" n_ops=1 min_timestamp_ns=1770303290826118777 max_timestamp_ns=1778943290826119743 wal_file_number=3
writer-1  | 2026-05-16T14:54:53.680503095Z 2026-05-16T14:54:53.680302Z  INFO influxdb3_wal::object_store: snapshotting wal snapshot_details=SnapshotDetails { snapshot_sequence_number: SnapshotSequenceNumber(1), end_time_marker: 1778943300000000000, first_wal_sequence_number: WalFileSequenceNumber(1), last_wal_sequence_number: WalFileSequenceNumber(3), forced: true }
writer-1  | 2026-05-16T14:54:53.680529637Z 2026-05-16T14:54:53.680343Z  INFO influxdb3_write::write_buffer::queryable_buffer: Buffering contents and persisting snapshotted data snapshot_details=SnapshotDetails { snapshot_sequence_number: SnapshotSequenceNumber(1), end_time_marker: 1778943300000000000, first_wal_sequence_number: WalFileSequenceNumber(1), last_wal_sequence_number: WalFileSequenceNumber(3), forced: true }
writer-1  | 2026-05-16T14:54:53.698511887Z 2026-05-16T14:54:53.698400Z  INFO influxdb3_write::write_buffer::queryable_buffer: persisting 500 chunks for wal number 3
writer-1  | 2026-05-16T14:54:53.698606012Z 2026-05-16T14:54:53.698528Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 5 and table id 0 and chunk 1771220940000000000 to file writer-1/dbs/bench-5/sensors-0/2026-02-16/05-49/0000000003.parquet
