querier-1  | 2026-05-16T17:10:48.570320376Z 2026-05-16T17:10:48.570226Z  INFO influxdb3_lib::commands::serve: InfluxDB 3 Core server starting node_id=querier-1 git_hash=c68a5712951128aa65e146169fe814ea69f22f63 version=3.3.0-nightly uuid=eed91d34-1589-4466-90cd-4a6807094cdf num_cpus=8
querier-1  | 2026-05-16T17:10:48.570454542Z 2026-05-16T17:10:48.570369Z  INFO influxdb3_clap_blocks::object_store: Object Store bucket=Some("influxdb3-bench") endpoint=Some(Endpoint("http://minio:9000")) object_store_type="S3"
querier-1  | 2026-05-16T17:10:48.570466459Z 2026-05-16T17:10:48.570414Z  INFO object_store::aws::builder: Using Static credential provider
querier-1  | 2026-05-16T17:10:48.573548501Z 2026-05-16T17:10:48.573478Z  INFO influxdb3_lib::commands::serve: Creating shared query executor num_threads=8
querier-1  | 2026-05-16T17:10:48.578748417Z 2026-05-16T17:10:48.578670Z  INFO influxdb3_lib::commands::serve: opening shared catalog at _catalog/
querier-1  | 2026-05-16T17:10:48.582313626Z 2026-05-16T17:10:48.582246Z  INFO influxdb3_catalog::catalog::update: create database name="_internal"
querier-1  | 2026-05-16T17:10:48.582322042Z 2026-05-16T17:10:48.582277Z  INFO influxdb3_lib::commands::serve: catalog initialized catalog_uuid=18873dd7-1ced-442c-a731-055fe7d842bb
querier-1  | 2026-05-16T17:10:48.582323334Z 2026-05-16T17:10:48.582282Z  INFO influxdb3_catalog::catalog::update: register node node_id="querier-1" core_count=8 mode=[Core]
querier-1  | 2026-05-16T17:10:48.582324251Z 2026-05-16T17:10:48.582286Z  INFO influxdb3_catalog::catalog::update: registering new node to the catalog node_id="querier-1" instance_id="133ecf2c-48ae-4605-a59a-b34ddffc4e63"
querier-1  | 2026-05-16T17:10:48.583508292Z 2026-05-16T17:10:48.583451Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"21a8a4c12e15b6346c4256b0384a1782\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000004.catalog" })
querier-1  | 2026-05-16T17:10:48.583540084Z 2026-05-16T17:10:48.583503Z  INFO influxdb3_lib::commands::serve: catalog initialized instance_id="133ecf2c-48ae-4605-a59a-b34ddffc4e63"
querier-1  | 2026-05-16T17:10:48.583543959Z 2026-05-16T17:10:48.583523Z  INFO influxdb3_catalog::catalog::update: set gen1 duration duration_ns=600000000000
querier-1  | 2026-05-16T17:10:48.583545126Z 2026-05-16T17:10:48.583527Z  WARN influxdb3_lib::commands::serve: cannot change the existing gen1 duration after it has been set existing_secs=60 provided_secs=600
querier-1  | 2026-05-16T17:10:48.584712334Z 2026-05-16T17:10:48.584666Z  INFO influxdb3_wal::object_store: replaying WAL files
querier-1  | 2026-05-16T17:10:48.584717917Z 2026-05-16T17:10:48.584673Z  INFO influxdb3_wal::object_store: completed replaying wal files time_taken=8.042µs
querier-1  | 2026-05-16T17:10:48.584719626Z 2026-05-16T17:10:48.584689Z  INFO influxdb3_lib::commands::serve: enabling layer C (wal tail) writer_node_ids=["writer-1"] interval=1s
querier-1  | 2026-05-16T17:10:48.584782584Z 2026-05-16T17:10:48.584704Z  INFO influxdb3_lib::commands::serve: spawning shared-inventory poller interval=1s
querier-1  | 2026-05-16T17:10:48.584786417Z 2026-05-16T17:10:48.584722Z  INFO influxdb3_lib::commands::serve: setting up background mem check for query buffer
querier-1  | 2026-05-16T17:10:48.584787334Z 2026-05-16T17:10:48.584725Z  INFO influxdb3_lib::commands::serve: compaction service disabled (mode=Querier does not run compaction)
