writer-1  | 2026-05-16T17:10:45.978515139Z 2026-05-16T17:10:45.978406Z  INFO influxdb3_lib::commands::serve: InfluxDB 3 Core server starting node_id=writer-1 git_hash=c68a5712951128aa65e146169fe814ea69f22f63 version=3.3.0-nightly uuid=5cc9b45c-e1a3-48c6-8e79-f5f0bf3520dd num_cpus=8
writer-1  | 2026-05-16T17:10:45.978654722Z 2026-05-16T17:10:45.978583Z  INFO influxdb3_clap_blocks::object_store: Object Store bucket=Some("influxdb3-bench") endpoint=Some(Endpoint("http://minio:9000")) object_store_type="S3"
writer-1  | 2026-05-16T17:10:45.978722680Z 2026-05-16T17:10:45.978668Z  INFO object_store::aws::builder: Using Static credential provider
writer-1  | 2026-05-16T17:10:45.982198180Z 2026-05-16T17:10:45.982061Z  INFO influxdb3_lib::commands::serve: Creating shared query executor num_threads=8
writer-1  | 2026-05-16T17:10:45.985408639Z 2026-05-16T17:10:45.985325Z  INFO influxdb3_lib::commands::serve: opening shared catalog at _catalog/
writer-1  | 2026-05-16T17:10:45.988350305Z 2026-05-16T17:10:45.988302Z  INFO influxdb3_catalog::object_store: catalog not found, creating a new one catalog_uuid=18873dd7-1ced-442c-a731-055fe7d842bb
writer-1  | 2026-05-16T17:10:45.989783305Z 2026-05-16T17:10:45.989734Z  INFO influxdb3_catalog::object_store: persisted catalog checkpoint file sequence=0
writer-1  | 2026-05-16T17:10:45.989788930Z 2026-05-16T17:10:45.989750Z  INFO influxdb3_catalog::catalog::update: create database name="_internal"
writer-1  | 2026-05-16T17:10:45.989790305Z 2026-05-16T17:10:45.989755Z  INFO influxdb3_catalog::catalog: creating new database database_name="_internal"
writer-1  | 2026-05-16T17:10:45.990882097Z 2026-05-16T17:10:45.990829Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"348285fcbc7cf710e05a029d169117b0\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000001.catalog" })
writer-1  | 2026-05-16T17:10:45.990903430Z 2026-05-16T17:10:45.990879Z  INFO influxdb3_catalog::catalog: created internal database
writer-1  | 2026-05-16T17:10:45.990976472Z 2026-05-16T17:10:45.990932Z  INFO influxdb3_lib::commands::serve: catalog initialized catalog_uuid=18873dd7-1ced-442c-a731-055fe7d842bb
writer-1  | 2026-05-16T17:10:45.990979514Z 2026-05-16T17:10:45.990943Z  INFO influxdb3_catalog::catalog::update: register node node_id="writer-1" core_count=8 mode=[Core]
writer-1  | 2026-05-16T17:10:45.990980597Z 2026-05-16T17:10:45.990947Z  INFO influxdb3_catalog::catalog::update: registering new node to the catalog node_id="writer-1" instance_id="e6ff013d-99bf-4203-af2a-b6670f453cf6"
writer-1  | 2026-05-16T17:10:45.991973389Z 2026-05-16T17:10:45.991928Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"ce5f2b112b1ae97e8432018a11f0d60b\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000002.catalog" })
writer-1  | 2026-05-16T17:10:45.992041805Z 2026-05-16T17:10:45.992006Z  INFO influxdb3_lib::commands::serve: catalog initialized instance_id="e6ff013d-99bf-4203-af2a-b6670f453cf6"
writer-1  | 2026-05-16T17:10:45.992046472Z 2026-05-16T17:10:45.992031Z  INFO influxdb3_catalog::catalog::update: set gen1 duration duration_ns=60000000000
writer-1  | 2026-05-16T17:10:45.992852139Z 2026-05-16T17:10:45.992809Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"b7f9be29884c75ad68637f823a43dd87\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000003.catalog" })
writer-1  | 2026-05-16T17:10:45.992889972Z 2026-05-16T17:10:45.992859Z  INFO influxdb3_lib::commands::serve: acquiring writer lease (ttl=60s)
writer-1  | 2026-05-16T17:10:45.993639222Z 2026-05-16T17:10:45.993603Z  INFO influxdb3_write::leases: lease _locks/writer.lease acquired by writer-1-5cc9b45c-e1a3-48c6-8e79-f5f0bf3520dd (no prior holder)
writer-1  | 2026-05-16T17:10:45.995295305Z 2026-05-16T17:10:45.995245Z  INFO influxdb3_wal::object_store: replaying WAL files
writer-1  | 2026-05-16T17:10:45.995300139Z 2026-05-16T17:10:45.995252Z  INFO influxdb3_wal::object_store: completed replaying wal files time_taken=7.375µs
writer-1  | 2026-05-16T17:10:45.995321389Z 2026-05-16T17:10:45.995289Z  INFO influxdb3_lib::commands::serve: spawning shared-inventory poller interval=2s
writer-1  | 2026-05-16T17:10:45.995406680Z 2026-05-16T17:10:45.995318Z  INFO influxdb3_lib::commands::serve: setting up background mem check for query buffer
writer-1  | 2026-05-16T17:10:45.995409972Z 2026-05-16T17:10:45.995329Z  INFO influxdb3_lib::commands::serve: compaction service disabled (mode=Writer does not run compaction)
writer-1  | 2026-05-16T17:10:45.995410930Z 2026-05-16T17:10:45.995331Z  INFO influxdb3_lib::commands::serve: setting up telemetry store
writer-1  | 2026-05-16T17:10:45.995411722Z 2026-05-16T17:10:45.995329Z  INFO influxdb3_write::deleter: Started catalog hard deleter task. delete_grace_period=86400s
writer-1  | 2026-05-16T17:10:45.995412430Z 2026-05-16T17:10:45.995338Z  WARN influxdb3_lib::commands::serve: server started without auth (`--without-auth` switch), all token creation and regeneration of admin token endpoints are disabled
writer-1  | 2026-05-16T17:10:45.995844639Z 2026-05-16T17:10:45.995798Z  INFO influxdb3_lib::commands::serve: setting up server with authz disabled for paths paths_without_authz=[]
writer-1  | 2026-05-16T17:10:45.995848055Z 2026-05-16T17:10:45.995822Z  INFO influxdb3_server: startup time: 17ms address=0.0.0.0:8181
writer-1  | 2026-05-16T17:10:50.004753418Z 2026-05-16T17:10:50.004463Z  INFO influxdb3_write::inventory_poller: inventory poller advanced catalog before_seq=3 after_seq=4
writer-1  | 2026-05-16T17:10:53.215918545Z 2026-05-16T17:10:53.215763Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"a8afd33f7954c1915df8ae9ed0353463\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000005.catalog" })
writer-1  | 2026-05-16T17:10:53.999010295Z 2026-05-16T17:10:53.998697Z  INFO influxdb3_wal::snapshot_tracker: snapshotting all before last wal period (using last wal period time) force_snapshot=false wal_periods_3_times_snapshot_size=false
writer-1  | 2026-05-16T17:10:53.999088128Z 2026-05-16T17:10:53.998812Z  INFO influxdb3_wal::object_store: flushing WAL buffer to object store host="writer-1" n_ops=1 min_timestamp_ns=1770311453152302253 max_timestamp_ns=1778951453152303245 wal_file_number=1
writer-1  | 2026-05-16T17:10:54.997917462Z 2026-05-16T17:10:54.997761Z  INFO influxdb3_wal::snapshot_tracker: snapshotting all before last wal period (using last wal period time) force_snapshot=false wal_periods_3_times_snapshot_size=false
writer-1  | 2026-05-16T17:10:54.997941545Z 2026-05-16T17:10:54.997799Z  INFO influxdb3_wal::object_store: flushing WAL buffer to object store host="writer-1" n_ops=1 min_timestamp_ns=1770311453152302274 max_timestamp_ns=1778951453152303240 wal_file_number=2
writer-1  | 2026-05-16T17:10:55.999208879Z 2026-05-16T17:10:55.998838Z  INFO influxdb3_wal::snapshot_tracker: snapshotting all force_snapshot=false wal_periods_3_times_snapshot_size=true
writer-1  | 2026-05-16T17:10:55.999326254Z 2026-05-16T17:10:55.998951Z  INFO influxdb3_wal::object_store: flushing WAL buffer to object store host="writer-1" n_ops=1 min_timestamp_ns=1770311453152302269 max_timestamp_ns=1778951453152303235 wal_file_number=3
writer-1  | 2026-05-16T17:10:56.025238754Z 2026-05-16T17:10:56.025070Z  INFO influxdb3_wal::object_store: snapshotting wal snapshot_details=SnapshotDetails { snapshot_sequence_number: SnapshotSequenceNumber(1), end_time_marker: 1778951460000000000, first_wal_sequence_number: WalFileSequenceNumber(1), last_wal_sequence_number: WalFileSequenceNumber(3), forced: true }
writer-1  | 2026-05-16T17:10:56.025260838Z 2026-05-16T17:10:56.025112Z  INFO influxdb3_write::write_buffer::queryable_buffer: Buffering contents and persisting snapshotted data snapshot_details=SnapshotDetails { snapshot_sequence_number: SnapshotSequenceNumber(1), end_time_marker: 1778951460000000000, first_wal_sequence_number: WalFileSequenceNumber(1), last_wal_sequence_number: WalFileSequenceNumber(3), forced: true }
writer-1  | 2026-05-16T17:10:56.041942338Z 2026-05-16T17:10:56.041770Z  INFO influxdb3_write::write_buffer::queryable_buffer: persisting 500 chunks for wal number 3
writer-1  | 2026-05-16T17:10:56.041962879Z 2026-05-16T17:10:56.041830Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1770346080000000000 to file writer-1/dbs/bench-1/sensors-0/2026-02-06/02-48/0000000003.parquet
writer-1  | 2026-05-16T17:10:56.041965713Z 2026-05-16T17:10:56.041824Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1770415320000000000 to file writer-1/dbs/bench-1/sensors-0/2026-02-06/22-02/0000000003.parquet
writer-1  | 2026-05-16T17:10:56.041967379Z 2026-05-16T17:10:56.041856Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1770380700000000000 to file writer-1/dbs/bench-1/sensors-0/2026-02-06/12-25/0000000003.parquet
writer-1  | 2026-05-16T17:10:56.042018588Z 2026-05-16T17:10:56.041904Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1770397980000000000 to file writer-1/dbs/bench-1/sensors-0/2026-02-06/17-13/0000000003.parquet
writer-1  | 2026-05-16T17:10:56.042031671Z 2026-05-16T17:10:56.041952Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1770311400000000000 to file writer-1/dbs/bench-1/sensors-0/2026-02-05/17-10/0000000003.parquet
writer-1  | 2026-05-16T17:10:56.042618588Z 2026-05-16T17:10:56.042375Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1770432600000000000 to file writer-1/dbs/bench-1/sensors-0/2026-02-07/02-50/0000000003.parquet
writer-1  | 2026-05-16T17:10:56.042734963Z 2026-05-16T17:10:56.042649Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1778951400000000000 to file writer-1/dbs/bench-1/sensors-0/2026-05-16/17-10/0000000003.parquet
writer-1  | 2026-05-16T17:10:56.043648504Z 2026-05-16T17:10:56.043556Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1770726960000000000 to file writer-1/dbs/bench-1/sensors-0/2026-02-10/12-36/0000000003.parquet
writer-1  | 2026-05-16T17:10:56.046375463Z 2026-05-16T17:10:56.046315Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1770744300000000000 to file writer-1/dbs/bench-1/sensors-0/2026-02-10/17-25/0000000003.parquet
writer-1  | 2026-05-16T17:10:56.046411004Z 2026-05-16T17:10:56.046336Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1771298340000000000 to file writer-1/dbs/bench-1/sensors-0/2026-02-17/03-19/0000000003.parquet
writer-1  | 2026-05-16T17:10:56.046413588Z 2026-05-16T17:10:56.046355Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1770449940000000000 to file writer-1/dbs/bench-1/sensors-0/2026-02-07/07-39/0000000003.parquet
writer-1  | 2026-05-16T17:10:56.046414713Z 2026-05-16T17:10:56.046316Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1770761580000000000 to file writer-1/dbs/bench-1/sensors-0/2026-02-10/22-13/0000000003.parquet
writer-1  | 2026-05-16T17:10:56.046415671Z 2026-05-16T17:10:56.046339Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1771765860000000000 to file writer-1/dbs/bench-1/sensors-0/2026-02-22/13-11/0000000003.parquet
writer-1  | 2026-05-16T17:10:56.046502213Z 2026-05-16T17:10:56.046461Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1772164080000000000 to file writer-1/dbs/bench-1/sensors-0/2026-02-27/03-48/0000000003.parquet
writer-1  | 2026-05-16T17:10:56.047079713Z 2026-05-16T17:10:56.047040Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1774882500000000000 to file writer-1/dbs/bench-1/sensors-0/2026-03-30/14-55/0000000003.parquet
writer-1  | 2026-05-16T17:10:56.047083629Z 2026-05-16T17:10:56.047062Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1770328740000000000 to file writer-1/dbs/bench-1/sensors-0/2026-02-05/21-59/0000000003.parquet
writer-1  | 2026-05-16T17:10:56.048415004Z 2026-05-16T17:10:56.047081Z  INFO influxdb3_write::write_buffer::queryable_buffer: Persisting 120 rows for db id 1 and table id 0 and chunk 1772181420000000000 to file writer-1/dbs/bench-1/sensors-0/2026-02-27/08-37/0000000003.parquet
