compactor-1  | 2026-05-16T18:21:57.942493005Z 2026-05-16T18:21:57.942422Z  INFO influxdb3_lib::commands::serve: InfluxDB 3 Core server starting node_id=compactor-1 git_hash=c68a5712951128aa65e146169fe814ea69f22f63 version=3.3.0-nightly uuid=fdce8dd5-cabf-44e2-aa99-da9a54290fe1 num_cpus=8
compactor-1  | 2026-05-16T18:21:57.942534755Z 2026-05-16T18:21:57.942488Z  INFO influxdb3_clap_blocks::object_store: Object Store bucket=Some("influxdb3-bench") endpoint=Some(Endpoint("http://minio:9000")) object_store_type="S3"
compactor-1  | 2026-05-16T18:21:57.942558880Z 2026-05-16T18:21:57.942519Z  INFO object_store::aws::builder: Using Static credential provider
compactor-1  | 2026-05-16T18:21:57.945250546Z 2026-05-16T18:21:57.945202Z  INFO influxdb3_lib::commands::serve: Creating shared query executor num_threads=8
compactor-1  | 2026-05-16T18:21:57.947576213Z 2026-05-16T18:21:57.946913Z  INFO influxdb3_lib::commands::serve: opening shared catalog at _catalog/
compactor-1  | 2026-05-16T18:21:57.952076046Z 2026-05-16T18:21:57.952022Z  INFO influxdb3_catalog::catalog::update: create database name="_internal"
compactor-1  | 2026-05-16T18:21:57.952087796Z 2026-05-16T18:21:57.952050Z  INFO influxdb3_lib::commands::serve: catalog initialized catalog_uuid=cdf82d2f-2174-4ce5-9dbb-c5eee0079d42
compactor-1  | 2026-05-16T18:21:57.952089171Z 2026-05-16T18:21:57.952052Z  INFO influxdb3_catalog::catalog::update: register node node_id="compactor-1" core_count=8 mode=[Core]
compactor-1  | 2026-05-16T18:21:57.952132588Z 2026-05-16T18:21:57.952056Z  INFO influxdb3_catalog::catalog::update: registering new node to the catalog node_id="compactor-1" instance_id="79531d17-19f6-45f5-85c8-dc3681998864"
compactor-1  | 2026-05-16T18:21:57.953221755Z 2026-05-16T18:21:57.953181Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"da05f7b359e227e12f79138156f23584\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000006.catalog" })
compactor-1  | 2026-05-16T18:21:57.953270046Z 2026-05-16T18:21:57.953248Z  INFO influxdb3_lib::commands::serve: catalog initialized instance_id="79531d17-19f6-45f5-85c8-dc3681998864"
compactor-1  | 2026-05-16T18:21:57.953319630Z 2026-05-16T18:21:57.953268Z  INFO influxdb3_catalog::catalog::update: set gen1 duration duration_ns=60000000000
compactor-1  | 2026-05-16T18:21:57.962811630Z 2026-05-16T18:21:57.962746Z  INFO influxdb3_wal::object_store: replaying WAL files
compactor-1  | 2026-05-16T18:21:57.962818755Z 2026-05-16T18:21:57.962757Z  INFO influxdb3_wal::object_store: completed replaying wal files time_taken=12.041µs
compactor-1  | 2026-05-16T18:21:57.962819963Z 2026-05-16T18:21:57.962772Z  INFO influxdb3_lib::commands::serve: spawning shared-inventory poller interval=2s
compactor-1  | 2026-05-16T18:21:57.962820713Z 2026-05-16T18:21:57.962781Z  INFO influxdb3_lib::commands::serve: setting up background mem check for query buffer
compactor-1  | 2026-05-16T18:21:57.962821463Z 2026-05-16T18:21:57.962788Z  INFO influxdb3_catalog::catalog::update: set generation duration level=2 duration_ns=3600000000000
compactor-1  | 2026-05-16T18:21:57.962830338Z 2026-05-16T18:21:57.962788Z  INFO influxdb3_write::deleter: Started catalog hard deleter task. delete_grace_period=86400s
compactor-1  | 2026-05-16T18:21:57.963752963Z 2026-05-16T18:21:57.963724Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"242412cbdb479f310ef6a4f11affe3c5\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000007.catalog" })
compactor-1  | 2026-05-16T18:21:57.963791338Z 2026-05-16T18:21:57.963777Z  INFO influxdb3_catalog::catalog::update: set generation duration level=3 duration_ns=86400000000000
compactor-1  | 2026-05-16T18:21:57.964598005Z 2026-05-16T18:21:57.964569Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"5d61712b7ca0af7aec18271a1d9a2b91\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000008.catalog" })
compactor-1  | 2026-05-16T18:21:57.964626713Z 2026-05-16T18:21:57.964608Z  INFO influxdb3_catalog::catalog::update: set generation duration level=4 duration_ns=604800000000000
compactor-1  | 2026-05-16T18:21:57.965435421Z 2026-05-16T18:21:57.965407Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"7a73edb72999e9e650d08035f46d0b73\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000009.catalog" })
compactor-1  | 2026-05-16T18:21:57.965454963Z 2026-05-16T18:21:57.965436Z  INFO influxdb3_catalog::catalog::update: set generation duration level=5 duration_ns=2592000000000000
