querier-1  | 2026-05-16T18:18:39.713603427Z 2026-05-16T18:18:39.713520Z  INFO influxdb3_lib::commands::serve: InfluxDB 3 Core server starting node_id=querier-1 git_hash=c68a5712951128aa65e146169fe814ea69f22f63 version=3.3.0-nightly uuid=94886503-a01b-4986-964f-3fe4021d1519 num_cpus=8
querier-1  | 2026-05-16T18:18:39.713699219Z 2026-05-16T18:18:39.713645Z  INFO influxdb3_clap_blocks::object_store: Object Store bucket=Some("influxdb3-bench") endpoint=Some(Endpoint("http://minio:9000")) object_store_type="S3"
querier-1  | 2026-05-16T18:18:39.713704635Z 2026-05-16T18:18:39.713685Z  INFO object_store::aws::builder: Using Static credential provider
querier-1  | 2026-05-16T18:18:39.716421010Z 2026-05-16T18:18:39.716352Z  INFO influxdb3_lib::commands::serve: Creating shared query executor num_threads=8
querier-1  | 2026-05-16T18:18:39.718049510Z 2026-05-16T18:18:39.717906Z  INFO influxdb3_lib::commands::serve: opening shared catalog at _catalog/
querier-1  | 2026-05-16T18:18:39.720942719Z 2026-05-16T18:18:39.720895Z  INFO influxdb3_catalog::catalog::update: create database name="_internal"
querier-1  | 2026-05-16T18:18:39.720957302Z 2026-05-16T18:18:39.720940Z  INFO influxdb3_lib::commands::serve: catalog initialized catalog_uuid=cdf82d2f-2174-4ce5-9dbb-c5eee0079d42
querier-1  | 2026-05-16T18:18:39.720961344Z 2026-05-16T18:18:39.720947Z  INFO influxdb3_catalog::catalog::update: register node node_id="querier-1" core_count=8 mode=[Core]
querier-1  | 2026-05-16T18:18:39.720966552Z 2026-05-16T18:18:39.720954Z  INFO influxdb3_catalog::catalog::update: registering new node to the catalog node_id="querier-1" instance_id="6875a5d5-23d2-4754-81b9-159d0aaf17e7"
querier-1  | 2026-05-16T18:18:39.722084302Z 2026-05-16T18:18:39.722046Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"d1f316cdb952cebcff168bea682ecd4f\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000004.catalog" })
querier-1  | 2026-05-16T18:18:39.722137969Z 2026-05-16T18:18:39.722115Z  INFO influxdb3_lib::commands::serve: catalog initialized instance_id="6875a5d5-23d2-4754-81b9-159d0aaf17e7"
querier-1  | 2026-05-16T18:18:39.722157969Z 2026-05-16T18:18:39.722141Z  INFO influxdb3_catalog::catalog::update: set gen1 duration duration_ns=600000000000
querier-1  | 2026-05-16T18:18:39.722180052Z 2026-05-16T18:18:39.722163Z  WARN influxdb3_lib::commands::serve: cannot change the existing gen1 duration after it has been set existing_secs=60 provided_secs=600
querier-1  | 2026-05-16T18:18:39.723462469Z 2026-05-16T18:18:39.723414Z  INFO influxdb3_wal::object_store: replaying WAL files
querier-1  | 2026-05-16T18:18:39.723466885Z 2026-05-16T18:18:39.723426Z  INFO influxdb3_wal::object_store: completed replaying wal files time_taken=12.875µs
querier-1  | 2026-05-16T18:18:39.723468135Z 2026-05-16T18:18:39.723447Z  INFO influxdb3_lib::commands::serve: enabling layer C (wal tail) writer_node_ids=["writer-1"] interval=1s
querier-1  | 2026-05-16T18:18:39.723495052Z 2026-05-16T18:18:39.723473Z  INFO influxdb3_lib::commands::serve: spawning shared-inventory poller interval=1s
querier-1  | 2026-05-16T18:18:39.723522969Z 2026-05-16T18:18:39.723490Z  INFO influxdb3_lib::commands::serve: setting up background mem check for query buffer
querier-1  | 2026-05-16T18:18:39.723524802Z 2026-05-16T18:18:39.723491Z  INFO influxdb3_write::deleter: Started catalog hard deleter task. delete_grace_period=86400s
querier-1  | 2026-05-16T18:18:39.723525760Z 2026-05-16T18:18:39.723497Z  INFO influxdb3_lib::commands::serve: compaction service disabled (mode=Querier does not run compaction)
querier-1  | 2026-05-16T18:18:39.723531469Z 2026-05-16T18:18:39.723498Z  INFO influxdb3_lib::commands::serve: setting up telemetry store
querier-1  | 2026-05-16T18:18:39.723532427Z 2026-05-16T18:18:39.723508Z  INFO influxdb3_lib::commands::serve: enabling layer B (remote hot chunks) writer_urls=["http://writer:8181"]
querier-1  | 2026-05-16T18:18:39.724004177Z 2026-05-16T18:18:39.723961Z  WARN influxdb3_lib::commands::serve: server started without auth (`--without-auth` switch), all token creation and regeneration of admin token endpoints are disabled
querier-1  | 2026-05-16T18:18:39.724387010Z 2026-05-16T18:18:39.724332Z  INFO influxdb3_lib::commands::serve: setting up server with authz disabled for paths paths_without_authz=[]
querier-1  | 2026-05-16T18:18:39.724389760Z 2026-05-16T18:18:39.724349Z  INFO influxdb3_server: startup time: 10ms address=0.0.0.0:8181
querier-1  | 2026-05-16T18:18:44.750783638Z 2026-05-16T18:18:44.749979Z  INFO influxdb3_write::inventory_poller: inventory poller advanced catalog before_seq=4 after_seq=5
querier-1  | 2026-05-16T18:21:36.917233717Z 2026-05-16T18:21:36.917181Z  INFO influxdb3_server::http: handling query_sql database=bench query_str=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:36.917246051Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:36.917247592Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:36.917248717Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:36.917249551Z FROM sensors
querier-1  | 2026-05-16T18:21:36.917250259Z GROUP BY region format=Csv
querier-1  | 2026-05-16T18:21:36.917316301Z 2026-05-16T18:21:36.917207Z  INFO influxdb3_server::query_executor: executing sql query database=bench query=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:36.917323676Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:36.917325301Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:36.917326467Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:36.917327592Z FROM sensors
querier-1  | 2026-05-16T18:21:36.917328676Z GROUP BY region params=None
querier-1  | 2026-05-16T18:21:36.917434676Z 2026-05-16T18:21:36.917385Z  INFO iox_query::query_log: query when="received" id=20a5be71-f58c-4b97-ac50-d4263517faaa namespace_id=0 namespace_name="influxdb3 oss" query_type="sql" query_text=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:36.917439676Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:36.917440926Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:36.917441967Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:36.917442759Z FROM sensors
querier-1  | 2026-05-16T18:21:36.917443551Z GROUP BY region query_params=Params { } issue_time=2026-05-16T18:21:36.917383717+00:00 success=false running=true cancelled=false
querier-1  | 2026-05-16T18:21:36.946036259Z 2026-05-16T18:21:36.945943Z  INFO influxdb3_write::composite_write_buffer: composite get_table_chunks db_schema.id=DbId(1) table_def.table_id=TableId(0) local=8000 remote=1 remote_reachable=true tail=0 total=8001
querier-1  | 2026-05-16T18:21:36.954912134Z 2026-05-16T18:21:36.954819Z  WARN iox_query::physical_optimizer::dedup::split: cannot split dedup operation, fanout too wide n_split=501 max_dedup_split=100
querier-1  | 2026-05-16T18:21:36.988547384Z 2026-05-16T18:21:36.988421Z  INFO iox_query::query_log: query when="planned" id=20a5be71-f58c-4b97-ac50-d4263517faaa namespace_id=0 namespace_name="influxdb3 oss" query_type="sql" query_text=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:36.988568342Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:36.988570009Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:36.988571009Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:36.988572051Z FROM sensors
querier-1  | 2026-05-16T18:21:36.988572926Z GROUP BY region query_params=Params { } issue_time=2026-05-16T18:21:36.917383717+00:00 partitions=500 parquet_files=8000 deduplicated_partitions=500 deduplicated_parquet_files=8000 plan_duration_secs=0.069314042 success=false running=true cancelled=false
querier-1  | 2026-05-16T18:21:36.988574342Z 2026-05-16T18:21:36.988448Z  INFO iox_query::query_log: query when="permit" id=20a5be71-f58c-4b97-ac50-d4263517faaa namespace_id=0 namespace_name="influxdb3 oss" query_type="sql" query_text=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:36.988575592Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:36.988576426Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:36.988577176Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:36.988578092Z FROM sensors
querier-1  | 2026-05-16T18:21:36.988579301Z GROUP BY region query_params=Params { } issue_time=2026-05-16T18:21:36.917383717+00:00 partitions=500 parquet_files=8000 deduplicated_partitions=500 deduplicated_parquet_files=8000 plan_duration_secs=0.069314042 permit_duration_secs=0.001750083 success=false running=true cancelled=false
querier-1  | 2026-05-16T18:21:36.988721426Z 2026-05-16T18:21:36.988635Z  INFO iox_query::query_log: query when="success" id=20a5be71-f58c-4b97-ac50-d4263517faaa namespace_id=0 namespace_name="influxdb3 oss" query_type="sql" query_text=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:36.988729467Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:36.988730509Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:36.988731217Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:36.988731926Z FROM sensors
querier-1  | 2026-05-16T18:21:36.988733009Z GROUP BY region query_params=Params { } issue_time=2026-05-16T18:21:36.917383717+00:00 partitions=500 parquet_files=8000 deduplicated_partitions=500 deduplicated_parquet_files=8000 plan_duration_secs=0.069314042 permit_duration_secs=0.001750083 execute_duration_secs=0.000180292 end2end_duration_secs=0.0712515 compute_duration_secs=4e-9 max_memory=0 ingester_metrics.latency_to_plan_secs=0.0 ingester_metrics.latency_to_full_data_secs=0.0 ingester_metrics.response_rows=0 ingester_metrics.partition_count=0 ingester_metrics.response_size=0 success=true running=false cancelled=false
querier-1  | 2026-05-16T18:21:38.896692510Z 2026-05-16T18:21:38.896609Z  INFO influxdb3_server::http: handling query_sql database=bench query_str=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:38.896715052Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:38.896716885Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:38.896717802Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:38.896718635Z FROM sensors
querier-1  | 2026-05-16T18:21:38.896719385Z GROUP BY region format=Csv
querier-1  | 2026-05-16T18:21:38.896720135Z 2026-05-16T18:21:38.896639Z  INFO influxdb3_server::query_executor: executing sql query database=bench query=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:38.896721343Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:38.896722093Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:38.896722802Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:38.896723552Z FROM sensors
querier-1  | 2026-05-16T18:21:38.896724218Z GROUP BY region params=None
querier-1  | 2026-05-16T18:21:38.896725302Z 2026-05-16T18:21:38.896661Z  INFO iox_query::query_log: query when="received" id=5f475be2-2c2e-4b3b-b6b0-521efda914cf namespace_id=0 namespace_name="influxdb3 oss" query_type="sql" query_text=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:38.896726593Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:38.896727260Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:38.896727885Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:38.896728510Z FROM sensors
querier-1  | 2026-05-16T18:21:38.896729218Z GROUP BY region query_params=Params { } issue_time=2026-05-16T18:21:38.896660510+00:00 success=false running=true cancelled=false
querier-1  | 2026-05-16T18:21:38.920103093Z 2026-05-16T18:21:38.920017Z  INFO influxdb3_write::composite_write_buffer: composite get_table_chunks db_schema.id=DbId(1) table_def.table_id=TableId(0) local=8000 remote=1 remote_reachable=true tail=0 total=8001
querier-1  | 2026-05-16T18:21:38.928544177Z 2026-05-16T18:21:38.928460Z  WARN iox_query::physical_optimizer::dedup::split: cannot split dedup operation, fanout too wide n_split=501 max_dedup_split=100
querier-1  | 2026-05-16T18:21:38.960783052Z 2026-05-16T18:21:38.960675Z  INFO iox_query::query_log: query when="planned" id=5f475be2-2c2e-4b3b-b6b0-521efda914cf namespace_id=0 namespace_name="influxdb3 oss" query_type="sql" query_text=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:38.960806635Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:38.960807885Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:38.960808760Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:38.960816468Z FROM sensors
querier-1  | 2026-05-16T18:21:38.960817260Z GROUP BY region query_params=Params { } issue_time=2026-05-16T18:21:38.896660510+00:00 partitions=500 parquet_files=8000 deduplicated_partitions=500 deduplicated_parquet_files=8000 plan_duration_secs=0.062496583 success=false running=true cancelled=false
querier-1  | 2026-05-16T18:21:38.960818135Z 2026-05-16T18:21:38.960699Z  INFO iox_query::query_log: query when="permit" id=5f475be2-2c2e-4b3b-b6b0-521efda914cf namespace_id=0 namespace_name="influxdb3 oss" query_type="sql" query_text=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:38.960819052Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:38.960819635Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:38.960820218Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:38.960820802Z FROM sensors
querier-1  | 2026-05-16T18:21:38.960821385Z GROUP BY region query_params=Params { } issue_time=2026-05-16T18:21:38.896660510+00:00 partitions=500 parquet_files=8000 deduplicated_partitions=500 deduplicated_parquet_files=8000 plan_duration_secs=0.062496583 permit_duration_secs=0.001542125 success=false running=true cancelled=false
querier-1  | 2026-05-16T18:21:38.960924052Z 2026-05-16T18:21:38.960804Z  INFO iox_query::query_log: query when="success" id=5f475be2-2c2e-4b3b-b6b0-521efda914cf namespace_id=0 namespace_name="influxdb3 oss" query_type="sql" query_text=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:38.960926010Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:38.960926718Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:38.960927302Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:38.960927885Z FROM sensors
querier-1  | 2026-05-16T18:21:38.960930468Z GROUP BY region query_params=Params { } issue_time=2026-05-16T18:21:38.896660510+00:00 partitions=500 parquet_files=8000 deduplicated_partitions=500 deduplicated_parquet_files=8000 plan_duration_secs=0.062496583 permit_duration_secs=0.001542125 execute_duration_secs=9.6625e-5 end2end_duration_secs=0.064142625 compute_duration_secs=4e-9 max_memory=0 ingester_metrics.latency_to_plan_secs=0.0 ingester_metrics.latency_to_full_data_secs=0.0 ingester_metrics.response_rows=0 ingester_metrics.partition_count=0 ingester_metrics.response_size=0 success=true running=false cancelled=false
querier-1  | 2026-05-16T18:21:40.852994678Z 2026-05-16T18:21:40.852932Z  INFO influxdb3_server::http: handling query_sql database=bench query_str=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:40.853005094Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:40.853006511Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:40.853007428Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:40.853008303Z FROM sensors
querier-1  | 2026-05-16T18:21:40.853009053Z GROUP BY region format=Csv
querier-1  | 2026-05-16T18:21:40.853009844Z 2026-05-16T18:21:40.852959Z  INFO influxdb3_server::query_executor: executing sql query database=bench query=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:40.853017761Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:40.853018636Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:40.853019386Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:40.853020136Z FROM sensors
querier-1  | 2026-05-16T18:21:40.853020803Z GROUP BY region params=None
querier-1  | 2026-05-16T18:21:40.853097344Z 2026-05-16T18:21:40.852984Z  INFO iox_query::query_log: query when="received" id=ed952634-e4a0-4a78-b85d-b9ce56bc872f namespace_id=0 namespace_name="influxdb3 oss" query_type="sql" query_text=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:40.853099594Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:40.853100469Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:40.853101219Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:40.853101928Z FROM sensors
querier-1  | 2026-05-16T18:21:40.853102511Z GROUP BY region query_params=Params { } issue_time=2026-05-16T18:21:40.852983469+00:00 success=false running=true cancelled=false
querier-1  | 2026-05-16T18:21:40.876179803Z 2026-05-16T18:21:40.876088Z  INFO influxdb3_write::composite_write_buffer: composite get_table_chunks db_schema.id=DbId(1) table_def.table_id=TableId(0) local=8000 remote=1 remote_reachable=true tail=0 total=8001
querier-1  | 2026-05-16T18:21:40.884528719Z 2026-05-16T18:21:40.884432Z  WARN iox_query::physical_optimizer::dedup::split: cannot split dedup operation, fanout too wide n_split=501 max_dedup_split=100
