writer-1  | 2026-05-16T18:18:37.133892717Z 2026-05-16T18:18:37.133782Z  INFO influxdb3_lib::commands::serve: InfluxDB 3 Core server starting node_id=writer-1 git_hash=c68a5712951128aa65e146169fe814ea69f22f63 version=3.3.0-nightly uuid=c228ab64-a98d-4ad3-ade6-afe2c5e9e150 num_cpus=8
writer-1  | 2026-05-16T18:18:37.134142009Z 2026-05-16T18:18:37.134079Z  INFO influxdb3_clap_blocks::object_store: Object Store bucket=Some("influxdb3-bench") endpoint=Some(Endpoint("http://minio:9000")) object_store_type="S3"
writer-1  | 2026-05-16T18:18:37.134303092Z 2026-05-16T18:18:37.134273Z  INFO object_store::aws::builder: Using Static credential provider
writer-1  | 2026-05-16T18:18:37.137602134Z 2026-05-16T18:18:37.137502Z  INFO influxdb3_lib::commands::serve: Creating shared query executor num_threads=8
writer-1  | 2026-05-16T18:18:37.139504051Z 2026-05-16T18:18:37.139431Z  INFO influxdb3_lib::commands::serve: opening shared catalog at _catalog/
writer-1  | 2026-05-16T18:18:37.141243551Z 2026-05-16T18:18:37.141172Z  INFO influxdb3_catalog::object_store: catalog not found, creating a new one catalog_uuid=cdf82d2f-2174-4ce5-9dbb-c5eee0079d42
writer-1  | 2026-05-16T18:18:37.142482342Z 2026-05-16T18:18:37.142424Z  INFO influxdb3_catalog::object_store: persisted catalog checkpoint file sequence=0
writer-1  | 2026-05-16T18:18:37.142489759Z 2026-05-16T18:18:37.142436Z  INFO influxdb3_catalog::catalog::update: create database name="_internal"
writer-1  | 2026-05-16T18:18:37.142491426Z 2026-05-16T18:18:37.142439Z  INFO influxdb3_catalog::catalog: creating new database database_name="_internal"
writer-1  | 2026-05-16T18:18:37.143703842Z 2026-05-16T18:18:37.143605Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"d811b5f906fcf6515880047203fcaa0a\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000001.catalog" })
writer-1  | 2026-05-16T18:18:37.143712259Z 2026-05-16T18:18:37.143682Z  INFO influxdb3_catalog::catalog: created internal database
writer-1  | 2026-05-16T18:18:37.143738884Z 2026-05-16T18:18:37.143700Z  INFO influxdb3_lib::commands::serve: catalog initialized catalog_uuid=cdf82d2f-2174-4ce5-9dbb-c5eee0079d42
writer-1  | 2026-05-16T18:18:37.143740842Z 2026-05-16T18:18:37.143706Z  INFO influxdb3_catalog::catalog::update: register node node_id="writer-1" core_count=8 mode=[Core]
writer-1  | 2026-05-16T18:18:37.143741759Z 2026-05-16T18:18:37.143710Z  INFO influxdb3_catalog::catalog::update: registering new node to the catalog node_id="writer-1" instance_id="7f1dd651-3b97-48b2-aea9-56a3815eae50"
writer-1  | 2026-05-16T18:18:37.144926301Z 2026-05-16T18:18:37.144851Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"10d95718aa543bdcfc311b4c7c56ea6c\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000002.catalog" })
writer-1  | 2026-05-16T18:18:37.144997301Z 2026-05-16T18:18:37.144957Z  INFO influxdb3_lib::commands::serve: catalog initialized instance_id="7f1dd651-3b97-48b2-aea9-56a3815eae50"
writer-1  | 2026-05-16T18:18:37.145004134Z 2026-05-16T18:18:37.144987Z  INFO influxdb3_catalog::catalog::update: set gen1 duration duration_ns=60000000000
writer-1  | 2026-05-16T18:18:37.146108134Z 2026-05-16T18:18:37.146046Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"0664e088f5dc66c38427348cae46e8b3\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000003.catalog" })
writer-1  | 2026-05-16T18:18:37.146166176Z 2026-05-16T18:18:37.146121Z  INFO influxdb3_lib::commands::serve: acquiring writer lease (ttl=60s)
writer-1  | 2026-05-16T18:18:37.147323176Z 2026-05-16T18:18:37.147273Z  INFO influxdb3_write::leases: lease _locks/writer.lease acquired by writer-1-c228ab64-a98d-4ad3-ade6-afe2c5e9e150 (no prior holder)
writer-1  | 2026-05-16T18:18:37.149251217Z 2026-05-16T18:18:37.149185Z  INFO influxdb3_wal::object_store: replaying WAL files
writer-1  | 2026-05-16T18:18:37.149259842Z 2026-05-16T18:18:37.149194Z  INFO influxdb3_wal::object_store: completed replaying wal files time_taken=9.333µs
writer-1  | 2026-05-16T18:18:37.149261384Z 2026-05-16T18:18:37.149231Z  INFO influxdb3_lib::commands::serve: spawning shared-inventory poller interval=2s
writer-1  | 2026-05-16T18:18:37.149275342Z 2026-05-16T18:18:37.149255Z  INFO influxdb3_lib::commands::serve: setting up background mem check for query buffer
writer-1  | 2026-05-16T18:18:37.149309551Z 2026-05-16T18:18:37.149261Z  INFO influxdb3_write::deleter: Started catalog hard deleter task. delete_grace_period=86400s
writer-1  | 2026-05-16T18:18:37.149314009Z 2026-05-16T18:18:37.149275Z  INFO influxdb3_lib::commands::serve: compaction service disabled (mode=Writer does not run compaction)
writer-1  | 2026-05-16T18:18:37.149315717Z 2026-05-16T18:18:37.149289Z  INFO influxdb3_lib::commands::serve: setting up telemetry store
writer-1  | 2026-05-16T18:18:37.149318926Z 2026-05-16T18:18:37.149304Z  WARN influxdb3_lib::commands::serve: server started without auth (`--without-auth` switch), all token creation and regeneration of admin token endpoints are disabled
